id,name,department,experience_level,education_level,age,gender,city,monthly_salary,employeed_id,date_of_join,designation,basic_salary,hra,special_allowance,conveyance,pf,income_tax,other_deductions,total_earnings,total_deductions,net_pay,pan,uan,bank_account
1,Aparna Yadav,it,Junior,PhD,25,male,pune,28640,sco-00001,17-04-2019,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1000F,1.002E+11,XXXXXX1000
2,Rameshwar Bansal,finance,Lead,PhD,22,female,chennai,139564,sco-00002,03-12-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1001F,1.002E+11,XXXXXX1001
3,Shahid Deshmukh,operation,Senior,Diploma,61,male,pune,119205,sco-00003,11-03-2018,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1002F,1.002E+11,XXXXXX1002
4,Lalit Kaur,HR,Senior,Master,22,female,mumbai,89886,sco-00004,17-03-2012,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1003F,1.002E+11,XXXXXX1003
5,Sonali Gupta,it,Mid,PhD,26,female,hyderbad,58484,sco-00005,15-09-2020,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1004F,1.002E+11,XXXXXX1004
6,Saraswati Kaur,HR,Junior,Diploma,34,male,chennai,39807,sco-00006,09-07-2015,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1005F,1.002E+11,XXXXXX1005
7,Govind Malhotra,HR,Fresher,Bachelor,55,female,banglore,23084,sco-00007,27-07-2012,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1006F,1.002E+11,XXXXXX1006
8,Rahul Joshi,HR,Senior,Bachelor,49,female,mumbai,77049,sco-00008,09-11-2015,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1007F,1.002E+11,XXXXXX1007
9,Amrita Deshmukh,HR,Lead,Diploma,37,male,chennai,151871,sco-00009,09-05-2025,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1008F,1.002E+11,XXXXXX1008
10,Ira Khanna,marketing,Lead,Master,36,male,chennai,187841,sco-00010,03-11-2022,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1009F,1.002E+11,XXXXXX1009
11,Geetha Mehta,marketing,Fresher,PhD,40,female,mumbai,26795,sco-00011,28-11-2025,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1010F,1.002E+11,XXXXXX1010
12,Naveen Kaur,finance,Junior,Master,25,female,mumbai,29630,sco-00012,16-06-2016,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1011F,1.002E+11,XXXXXX1011
13,Shivakumar Kapoor,finance,Junior,Bachelor,62,male,pune,41408,sco-00013,18-07-2025,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1012F,1.002E+11,XXXXXX1012
14,Kamala Singh,marketing,Senior,PhD,22,male,chennai,99688,sco-00014,05-06-2018,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1013F,1.002E+11,XXXXXX1013
15,Arif Pawar,finance,Fresher,Bachelor,62,male,banglore,21743,sco-00015,04-02-2011,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1014F,1.002E+11,XXXXXX1014
16,Antony Khanna,marketing,Fresher,Diploma,49,male,banglore,26002,sco-00016,23-04-2013,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1015F,1.002E+11,XXXXXX1015
17,Vaishnavi Shetty,HR,Mid,Bachelor,39,male,chennai,57599,sco-00017,27-08-2023,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1016F,1.002E+11,XXXXXX1016
18,Ritvik Kapoor,it,Mid,PhD,62,male,mumbai,46215,sco-00018,26-10-2012,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1017F,1.002E+11,XXXXXX1017
19,Ganga Pawar,operation,Senior,Diploma,23,female,chennai,126960,sco-00019,07-06-2011,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1018F,1.002E+11,XXXXXX1018
20,Mukesh Joshi,HR,Mid,Diploma,44,female,mumbai,52645,sco-00020,26-07-2021,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1019F,1.002E+11,XXXXXX1019
21,Naseer Malhotra,it,Mid,Master,46,male,mumbai,49409,sco-00021,25-01-2011,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1020F,1.002E+11,XXXXXX1020
22,Dinesh Mishra,HR,Lead,Bachelor,55,female,chennai,153776,sco-00022,12-02-2012,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1021F,1.002E+11,XXXXXX1021
23,Anita Verma,marketing,Mid,Diploma,33,female,banglore,73655,sco-00023,01-04-2016,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1022F,1.002E+11,XXXXXX1022
24,Kapil Chatterjee,operation,Mid,Bachelor,45,female,hyderbad,59096,sco-00024,24-10-2014,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1023F,1.002E+11,XXXXXX1023
25,Irfan Malik,operation,Senior,Diploma,25,male,pune,104885,sco-00025,03-02-2020,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1024F,1.002E+11,XXXXXX1024
26,Pallavi Kapoor,marketing,Mid,PhD,63,male,banglore,69828,sco-00026,14-03-2018,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1025F,1.002E+11,XXXXXX1025
27,Pranita Mukherjee,operation,Fresher,Bachelor,63,female,pune,22172,sco-00027,29-10-2017,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1026F,1.002E+11,XXXXXX1026
28,Alok Jadhav,HR,Fresher,Diploma,25,male,hyderbad,20196,sco-00028,18-05-2023,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1027F,1.002E+11,XXXXXX1027
29,Atharva Bansal,HR,Junior,Diploma,40,male,hyderbad,35488,sco-00029,15-08-2021,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1028F,1.002E+11,XXXXXX1028
30,Hari Verma,marketing,Lead,Bachelor,59,female,chennai,203151,sco-00030,17-07-2022,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1029F,1.002E+11,XXXXXX1029
31,Ananya Gupta,HR,Junior,PhD,39,female,banglore,33989,sco-00031,04-03-2022,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1030F,1.002E+11,XXXXXX1030
32,Madhav Yadav,it,Junior,Diploma,44,female,hyderbad,39116,sco-00032,12-11-2010,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1031F,1.002E+11,XXXXXX1031
33,Bharti Mehta,finance,Junior,Diploma,43,female,hyderbad,44368,sco-00033,02-10-2023,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1032F,1.002E+11,XXXXXX1032
34,Mahesh Gupta,finance,Fresher,Diploma,22,male,mumbai,19017,sco-00034,07-04-2024,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1033F,1.002E+11,XXXXXX1033
35,Megha Naik,finance,Senior,PhD,40,female,banglore,114487,sco-00035,12-09-2010,Software Engineer,50000,20000,10000,1600,1800,8000,300,81600,10100,71500,ABCDE1034F,1.002E+11,XXXXXX1034
